840003218920873,  1115,30,00:19:55,00:28:18,   503, 48.80, 46.60,HS    ,  2.20,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681620,  1605,12,00:26:50,00:28:18,    88, 33.40, 33.30,LS    ,  0.10,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681788,  1773,63,00:22:38,00:29:51,   433, 69.04, 67.15,TEST  ,  1.89,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681669,  1654, 8,00:20:36,00:32:46,   730, 58.70, 55.40,HS    ,  3.30,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003287324988,  9593,66,00:23:44,00:35:00,   676, 21.39, 16.35,TEST  ,  5.04,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681788,  1773,63,00:30:18,00:36:25,   367, 67.16, 65.50,TEST  ,  1.66,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003234513693,  1301,56,00:21:03,00:36:43,   940, 16.19, 10.10,TEST  ,  6.09,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681788,  1773,63,00:36:50,00:36:55,     5, 65.50, 65.50,TEST  ,  0.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681669,  1654, 8,00:33:48,00:37:09,   201, 55.40, 54.60,HS    ,  0.80,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681620,  1605, 7,00:29:05,00:37:28,   503, 42.60, 41.50,LS    ,  1.10,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681787,  1772,80,00:32:51,00:37:45,   294, 21.76, 20.34,TEST  ,  1.42,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681669,  1654, 7,00:37:37,00:37:47,    10, 41.50, 41.50,LS    ,  0.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681787,  1772,80,00:38:01,00:38:07,     6, 20.34, 20.34,TEST  ,  0.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681620,  1605, 6,00:37:34,00:38:13,    39, 43.20, 43.10,LS    ,  0.10,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003268256460,  9534, 5,00:19:18,00:38:23,  1145, 51.40, 47.40,HS    ,  4.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003205049610,  9724, 4,00:33:28,00:38:47,   319, 39.60, 38.30,HS    ,  1.30,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003234513693,  1301,56,00:36:44,00:44:16,   452, 10.10,  7.13,TEST  ,  2.97,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003234513693,  1301,56,00:44:17,00:44:23,     6,  7.13,  7.14,TEST  , -0.01,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681787,  1772,78,00:39:22,00:44:32,   310, 27.39, 25.70,TEST  ,  1.69,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003234513693,  1301,56,00:44:47,00:44:52,     5,  7.14,  7.15,TEST  , -0.01,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003287324973,  9890, 9,00:28:58,00:46:03,  1025, 42.80, 38.10,HS    ,  4.70,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681620,  1605, 7,00:38:35,00:47:01,   506, 41.50, 40.40,LS    ,  1.10,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003234513693,  1301,56,00:45:02,00:47:36,   154,  7.14,  7.13,TEST  ,  0.01,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003234513693,  1301,56,00:47:48,00:47:55,     7,  6.17,  6.17,TEST  ,  0.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681787,  1772,77,00:44:42,00:48:54,   252, 43.64, 42.01,TEST  ,  1.63,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681787,  1772,77,00:48:55,00:49:01,     6, 42.01, 42.02,TEST  , -0.01,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681669,  1654, 5,00:38:33,00:49:06,   633, 47.40, 45.00,HS    ,  2.40,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003218920901,  1143,18,00:33:29,00:50:02,   993, 37.20, 33.20,LS    ,  4.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681674,  1659,17,00:43:03,00:50:12,   429, 40.90, 39.20,HS    ,  1.70,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003218920887,  1129,64,00:39:36,00:50:38,   662, 63.33, 60.93,TEST  ,  2.40,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003205049486,  9600,66,00:40:15,00:51:05,   650, 16.38, 12.90,TEST  ,  3.48,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003205049486,  9600,66,00:52:41,00:52:47,     6, 12.90, 12.90,TEST  ,  0.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003205049610,  9724, 4,00:44:27,00:53:07,   520, 38.30, 36.70,HS    ,  1.60,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003274076181,  9663,58,00:37:07,00:54:10,  1023, 32.57, 26.34,TEST  ,  6.23,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003205049588,  9702,21,00:26:22,00:54:08,  1666, 41.60, 34.80,HS    ,  6.80,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003205049588,  9702,22,00:54:23,00:55:28,    65, 32.30, 32.20,HS    ,  0.10,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003205049486,  9600,66,00:52:52,00:55:47,   175, 12.90, 11.83,TEST  ,  1.07,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003218920882,  1124,16,00:23:14,00:56:13,  1979, 53.40, 45.20,HS    ,  8.20,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681819,  1804,81,00:47:35,00:56:37,   542, 14.80, 12.45,TEST  ,  2.35,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003287325014,  9956,27,00:55:02,00:56:47,   105, 42.70, 42.70,LS    ,  0.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003287324973,  9890,29,00:55:03,00:57:05,   122, 49.30, 48.00,HS    ,  1.30,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681674,  1659,17,00:50:56,00:57:11,   375, 39.20, 37.60,HS    ,  1.60,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003287324973,  9890,28,00:57:43,00:57:46,     3, 25.70, 25.70,LS    ,  0.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003287324973,  9890,27,00:57:52,00:58:00,     8, 42.60, 42.30,LS    ,  0.30,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003287325014,  9956,30,00:57:18,00:58:04,    46, 46.40, 46.20,HS    ,  0.20,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003218920873,  1115,26,00:28:52,00:58:07,  1755, 32.20, 25.20,HS    ,  7.00,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003287325014,  9956,31,00:58:13,00:59:22,    69, 19.20, 19.00,LS    ,  0.20,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003205049588,  9702,29,00:59:04,00:59:36,    32, 48.30, 48.00,HS    ,  0.30,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003205049610,  9724, 5,00:53:23,01:00:49,   446, 45.00, 43.50,HS    ,  1.50,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003250681819,  1804,80,00:58:08,01:02:37,   269, 20.34, 19.20,TEST  ,  1.14,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003218920901,  1143,20,00:50:17,01:03:51,   814, 33.00, 29.90,LS    ,  3.10,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
840003234513799,  1407,68,01:04:55,01:05:17,    22,  0.16,  0.14,TEST  ,  0.02,  0.000,  0.00,  0.000,  0.000,  0.000,  0.000
